DEGREE	SINUS	COSINUS
     	-0.307350   	-0.951596   
     	-0.323903   	-0.946090   
     	-0.340357   	-0.940296   
     	-0.356707   	-0.934216   
     	-0.372949   	-0.927852   
     	-0.389077   	-0.921205   
     	-0.405087   	-0.914278   
     	-0.420974   	-0.907073   
     	-0.436732   	-0.899592   
     	-0.452358   	-0.891837   
     	-0.467846   	-0.883810   
     	-0.483191   	-0.875515   
     	-0.498390   	-0.866953   
     	-0.513437   	-0.858127   
     	-0.528328   	-0.849041   
     	-0.543057   	-0.839696   
     	-0.557622   	-0.830095   
     	-0.572017   	-0.820242   
     	-0.586238   	-0.810139   
     	-0.600281   	-0.799790   
     	-0.614140   	-0.789197   
     	-0.627813   	-0.778364   
     	-0.641295   	-0.767294   
     	-0.654582   	-0.755991   
     	-0.667670   	-0.744458   
     	-0.680554   	-0.732698   
     	-0.693231   	-0.720715   
     	-0.705698   	-0.708513   
     	-0.717949   	-0.696095   
     	-0.729982   	-0.683466   
     	-0.741793   	-0.670628   
     	-0.753379   	-0.657587   
     	-0.764735   	-0.644345   
     	-0.775858   	-0.630907   
     	-0.786745   	-0.617278   
     	-0.797393   	-0.603460   
     	-0.807798   	-0.589459   
     	-0.817958   	-0.575278   
     	-0.827868   	-0.560923   
     	-0.837527   	-0.546397   
     	-0.846930   	-0.531704   
     	-0.856076   	-0.516850   
     	-0.864962   	-0.501838   
     	-0.873584   	-0.486674   
     	-0.881940   	-0.471361   
     	-0.890028   	-0.455905   
     	-0.897846   	-0.440311   
     	-0.905390   	-0.424582   
     	-0.912658   	-0.408724   
     	-0.919649   	-0.392742   
     	-0.926360   	-0.376640   
     	-0.932789   	-0.360424   
     	-0.938934   	-0.344098   
     	-0.944793   	-0.327667   
     	-0.950365   	-0.311137   
     	-0.955648   	-0.294512   
     	-0.960640   	-0.277797   
     	-0.965339   	-0.260998   
     	-0.969745   	-0.244119   
     	-0.973856   	-0.227166   
     	-0.977670   	-0.210144   
     	-0.981187   	-0.193058   
     	-0.984406   	-0.175913   
     	-0.987324   	-0.158715   
     	-0.989943   	-0.141468   
     	-0.992260   	-0.124179   
     	-0.994275   	-0.106851   
     	-0.995988   	-0.089491   
     	-0.997397   	-0.072104   
     	-0.998503   	-0.054695   
     	-0.999305   	-0.037269   
     	-0.999803   	-0.019832   
     	-0.999997   	-0.002389   
     	-0.999887   	0.015055   
     	-0.999472   	0.032494   
     	-0.998753   	0.049924   
     	-0.997730   	0.067338   
     	-0.996404   	0.084732   
     	-0.994774   	0.102099   
     	-0.992842   	0.119436   
     	-0.990607   	0.136737   
     	-0.988072   	0.153996   
     	-0.985235   	0.171208   
     	-0.982099   	0.188368   
     	-0.978663   	0.205470   
     	-0.974930   	0.222511   
     	-0.970901   	0.239483   
     	-0.966575   	0.256382   
     	-0.961956   	0.273204   
     	-0.957044   	0.289942   
     	-0.951841   	0.306592   
     	-0.946348   	0.323149   
     	-0.940567   	0.339608   
     	-0.934500   	0.355963   
     	-0.928149   	0.372210   
     	-0.921515   	0.388343   
     	-0.914600   	0.404359   
     	-0.907408   	0.420251   
     	-0.899939   	0.436016   
     	-0.892196   	0.451647   
     	-0.884182   	0.467142   
     	-0.875899   	0.482494   
     	-0.867350   	0.497699   
     	-0.858536   	0.512753   
     	-0.849461   	0.527651   
     	-0.840128   	0.542389   
     	-0.830539   	0.556961   
     	-0.820697   	0.571364   
     	-0.810605   	0.585593   
     	-0.800267   	0.599643   
     	-0.789686   	0.613512   
     	-0.778864   	0.627193   
     	-0.767805   	0.640684   
     	-0.756512   	0.653980   
     	-0.744989   	0.667077   
     	-0.733240   	0.679970   
     	-0.721267   	0.692657   
     	-0.709075   	0.705133   
     	-0.696667   	0.717395   
     	-0.684047   	0.729438   
     	-0.671219   	0.741259   
     	-0.658187   	0.752855   
     	-0.644954   	0.764221   
     	-0.631525   	0.775355   
     	-0.617904   	0.786253   
     	-0.604095   	0.796912   
     	-0.590102   	0.807329   
     	-0.575930   	0.817499   
     	-0.561582   	0.827421   
     	-0.547063   	0.837091   
     	-0.532378   	0.846507   
     	-0.517531   	0.855664   
     	-0.502527   	0.864562   
     	-0.487369   	0.873196   
     	-0.472063   	0.881565   
     	-0.456614   	0.889665   
     	-0.441025   	0.897495   
     	-0.425303   	0.905051   
     	-0.409451   	0.912332   
     	-0.393474   	0.919336   
     	-0.377378   	0.926059   
     	-0.361167   	0.932501   
     	-0.344846   	0.938659   
     	-0.328419   	0.944532   
     	-0.311894   	0.950117   
     	-0.295273   	0.955413   
     	-0.278562   	0.960418   
     	-0.261766   	0.965131   
     	-0.244891   	0.969551   
     	-0.227942   	0.973675   
     	-0.210923   	0.977503   
     	-0.193839   	0.981033   
     	-0.176697   	0.984265   
     	-0.159501   	0.987198   
     	-0.142257   	0.989830   
     	-0.124969   	0.992161   
     	-0.107643   	0.994190   
     	-0.090284   	0.995916   
     	-0.072898   	0.997339   
     	-0.055490   	0.998459   
     	-0.038065   	0.999275   
     	-0.020628   	0.999787   
     	-0.003185   	0.999995   
